id,prompt,response,text
11,Apa itu Alpha?,"Alpha adalah ukuran kinerja investasi relatif terhadap tolok ukur pasar atau indeks. Alpha positif menunjukkan bahwa investasi tersebut mengungguli tolok ukur, sementara alpha negatif menunjukkan kinerja yang lebih buruk.","Apa itu Alpha? Alpha adalah ukuran kinerja investasi relatif terhadap tolok ukur pasar atau indeks. Alpha positif menunjukkan bahwa investasi tersebut mengungguli tolok ukur, sementara alpha negatif menunjukkan kinerja yang lebih buruk."
12,Apa itu Beta?,"Beta adalah ukuran volatilitas atau risiko sistematis dari suatu investasi dibandingkan dengan pasar secara keseluruhan. Beta lebih dari 1 menunjukkan bahwa investasi lebih volatil daripada pasar, sementara beta kurang dari 1 menunjukkan volatilitas yang lebih rendah.","Apa itu Beta? Beta adalah ukuran volatilitas atau risiko sistematis dari suatu investasi dibandingkan dengan pasar secara keseluruhan. Beta lebih dari 1 menunjukkan bahwa investasi lebih volatil daripada pasar, sementara beta kurang dari 1 menunjukkan volatilitas yang lebih rendah."
13,Apa itu Bear Market?,"Bear Market adalah kondisi pasar di mana harga sekuritas mengalami penurunan yang berkepanjangan, biasanya disertai dengan pesimisme investor yang meluas.","Apa itu Bear Market? Bear Market adalah kondisi pasar di mana harga sekuritas mengalami penurunan yang berkepanjangan, biasanya disertai dengan pesimisme investor yang meluas."
14,Apa itu Bull Market?,"Bull Market adalah kondisi pasar di mana harga sekuritas mengalami kenaikan yang berkepanjangan, biasanya disertai dengan optimisme investor yang meluas.","Apa itu Bull Market? Bull Market adalah kondisi pasar di mana harga sekuritas mengalami kenaikan yang berkepanjangan, biasanya disertai dengan optimisme investor yang meluas."
15,Apa itu Dividend Yield?,Dividend Yield adalah rasio keuangan yang menunjukkan berapa banyak dividen tahunan yang dibayarkan oleh suatu perusahaan dibandingkan dengan harga sahamnya. Rasio ini dinyatakan sebagai persentase.,Apa itu Dividend Yield? Dividend Yield adalah rasio keuangan yang menunjukkan berapa banyak dividen tahunan yang dibayarkan oleh suatu perusahaan dibandingkan dengan harga sahamnya. Rasio ini dinyatakan sebagai persentase.
16,Apa itu Expense Ratio?,"Expense Ratio adalah rasio biaya operasional yang dibebankan oleh dana investasi atau reksa dana kepada pemegang unitnya. Rasio ini mencakup biaya manajemen, biaya administrasi, dan biaya operasional lainnya.","Apa itu Expense Ratio? Expense Ratio adalah rasio biaya operasional yang dibebankan oleh dana investasi atau reksa dana kepada pemegang unitnya. Rasio ini mencakup biaya manajemen, biaya administrasi, dan biaya operasional lainnya."
17,Apa itu NAV?,"Net Asset Value (NAV) adalah nilai total aset suatu dana dikurangi total liabilitasnya, dibagi dengan jumlah unit atau saham yang beredar. NAV sering digunakan dalam konteks reksa dana dan dana tertutup.","Apa itu NAV? Net Asset Value (NAV) adalah nilai total aset suatu dana dikurangi total liabilitasnya, dibagi dengan jumlah unit atau saham yang beredar. NAV sering digunakan dalam konteks reksa dana dan dana tertutup."
18,Apa itu P/E Ratio?,"Price-to-Earnings (P/E) Ratio adalah rasio valuasi yang membandingkan harga saham suatu perusahaan dengan laba per sahamnya. P/E ratio tinggi dapat menunjukkan bahwa saham tersebut dinilai tinggi oleh pasar, sementara P/E ratio rendah dapat menunjukkan bahwa saham tersebut dinilai rendah.","Apa itu P/E Ratio? Price-to-Earnings (P/E) Ratio adalah rasio valuasi yang membandingkan harga saham suatu perusahaan dengan laba per sahamnya. P/E ratio tinggi dapat menunjukkan bahwa saham tersebut dinilai tinggi oleh pasar, sementara P/E ratio rendah dapat menunjukkan bahwa saham tersebut dinilai rendah."
19,Apa itu Market Capitalization?,Market Capitalization adalah total nilai pasar dari saham yang beredar dari suatu perusahaan. Market cap dihitung dengan mengalikan harga saham dengan jumlah saham yang beredar.,Apa itu Market Capitalization? Market Capitalization adalah total nilai pasar dari saham yang beredar dari suatu perusahaan. Market cap dihitung dengan mengalikan harga saham dengan jumlah saham yang beredar.
20,Apa itu Sharpe Ratio?,Sharpe Ratio adalah rasio yang digunakan untuk mengukur kinerja disesuaikan dengan risiko dari suatu investasi. Sharpe Ratio yang lebih tinggi menunjukkan bahwa investasi memberikan imbal hasil yang lebih tinggi per unit risiko yang diambil.,Apa itu Sharpe Ratio? Sharpe Ratio adalah rasio yang digunakan untuk mengukur kinerja disesuaikan dengan risiko dari suatu investasi. Sharpe Ratio yang lebih tinggi menunjukkan bahwa investasi memberikan imbal hasil yang lebih tinggi per unit risiko yang diambil.
21,Apa itu anggaran bulanan?,Anggaran bulanan adalah rencana keuangan yang mencakup pendapatan dan pengeluaran dalam satu bulan. Anggaran membantu mengelola keuangan pribadi dengan lebih baik dan memastikan bahwa pengeluaran tidak melebihi pendapatan.,Apa itu anggaran bulanan? Anggaran bulanan adalah rencana keuangan yang mencakup pendapatan dan pengeluaran dalam satu bulan. Anggaran membantu mengelola keuangan pribadi dengan lebih baik dan memastikan bahwa pengeluaran tidak melebihi pendapatan.
22,Apa itu dana darurat?,"Dana darurat adalah sejumlah uang yang disimpan untuk digunakan dalam situasi keuangan yang mendesak atau tak terduga, seperti kehilangan pekerjaan atau biaya medis yang tinggi. Dana darurat biasanya setara dengan 3-6 bulan pengeluaran hidup.","Apa itu dana darurat? Dana darurat adalah sejumlah uang yang disimpan untuk digunakan dalam situasi keuangan yang mendesak atau tak terduga, seperti kehilangan pekerjaan atau biaya medis yang tinggi. Dana darurat biasanya setara dengan 3-6 bulan pengeluaran hidup."
23,Apa itu utang konsumtif?,"Utang konsumtif adalah utang yang digunakan untuk membeli barang atau jasa yang tidak memberikan nilai investasi jangka panjang, seperti kartu kredit atau pinjaman pribadi untuk liburan.","Apa itu utang konsumtif? Utang konsumtif adalah utang yang digunakan untuk membeli barang atau jasa yang tidak memberikan nilai investasi jangka panjang, seperti kartu kredit atau pinjaman pribadi untuk liburan."
24,Apa itu utang produktif?,"Utang produktif adalah utang yang digunakan untuk investasi atau pembelian aset yang diharapkan menghasilkan pendapatan di masa depan, seperti pinjaman pendidikan atau hipotek rumah.","Apa itu utang produktif? Utang produktif adalah utang yang digunakan untuk investasi atau pembelian aset yang diharapkan menghasilkan pendapatan di masa depan, seperti pinjaman pendidikan atau hipotek rumah."
25,Apa itu rencana pensiun?,"Rencana pensiun adalah strategi keuangan yang dibuat untuk memastikan seseorang memiliki cukup uang untuk mendukung gaya hidup mereka setelah berhenti bekerja. Ini bisa melibatkan tabungan, investasi, dan manfaat pensiun dari pemberi kerja.","Apa itu rencana pensiun? Rencana pensiun adalah strategi keuangan yang dibuat untuk memastikan seseorang memiliki cukup uang untuk mendukung gaya hidup mereka setelah berhenti bekerja. Ini bisa melibatkan tabungan, investasi, dan manfaat pensiun dari pemberi kerja."
26,Apa itu tabungan pensiun?,Tabungan pensiun adalah dana yang disisihkan secara berkala untuk digunakan setelah pensiun. Contohnya termasuk 401(k) di Amerika Serikat atau Dana Pensiun Lembaga Keuangan (DPLK) di Indonesia.,Apa itu tabungan pensiun? Tabungan pensiun adalah dana yang disisihkan secara berkala untuk digunakan setelah pensiun. Contohnya termasuk 401(k) di Amerika Serikat atau Dana Pensiun Lembaga Keuangan (DPLK) di Indonesia.
27,Apa itu bunga majemuk?,Bunga majemuk adalah bunga yang dihitung atas pokok awal serta bunga yang telah ditambahkan ke pokok tersebut. Ini dapat meningkatkan nilai investasi atau utang secara signifikan dari waktu ke waktu.,Apa itu bunga majemuk? Bunga majemuk adalah bunga yang dihitung atas pokok awal serta bunga yang telah ditambahkan ke pokok tersebut. Ini dapat meningkatkan nilai investasi atau utang secara signifikan dari waktu ke waktu.
28,Apa itu rasio utang terhadap pendapatan?,Rasio utang terhadap pendapatan (Debt-to-Income Ratio) adalah perbandingan antara total utang bulanan dengan total pendapatan bulanan. Rasio ini digunakan untuk menilai kemampuan seseorang dalam mengelola dan membayar kembali utang.,Apa itu rasio utang terhadap pendapatan? Rasio utang terhadap pendapatan (Debt-to-Income Ratio) adalah perbandingan antara total utang bulanan dengan total pendapatan bulanan. Rasio ini digunakan untuk menilai kemampuan seseorang dalam mengelola dan membayar kembali utang.
29,Apa itu rekening tabungan?,Rekening tabungan adalah rekening bank yang digunakan untuk menyimpan uang yang tidak akan segera digunakan. Rekening ini biasanya memberikan bunga atas saldo yang disimpan.,Apa itu rekening tabungan? Rekening tabungan adalah rekening bank yang digunakan untuk menyimpan uang yang tidak akan segera digunakan. Rekening ini biasanya memberikan bunga atas saldo yang disimpan.
30,Apa itu asuransi jiwa?,Asuransi jiwa adalah jenis asuransi yang memberikan pembayaran kepada ahli waris yang ditunjuk jika pemegang polis meninggal dunia. Ini membantu melindungi keuangan keluarga setelah kehilangan sumber pendapatan.,Apa itu asuransi jiwa? Asuransi jiwa adalah jenis asuransi yang memberikan pembayaran kepada ahli waris yang ditunjuk jika pemegang polis meninggal dunia. Ini membantu melindungi keuangan keluarga setelah kehilangan sumber pendapatan.
31,Apa itu skor kredit?,Skor kredit adalah angka yang mencerminkan kelayakan kredit seseorang berdasarkan riwayat kredit mereka. Skor kredit digunakan oleh pemberi pinjaman untuk menilai risiko pemberian kredit atau pinjaman.,Apa itu skor kredit? Skor kredit adalah angka yang mencerminkan kelayakan kredit seseorang berdasarkan riwayat kredit mereka. Skor kredit digunakan oleh pemberi pinjaman untuk menilai risiko pemberian kredit atau pinjaman.
32,Apa itu pengelolaan uang?,"Pengelolaan uang adalah proses merencanakan, mengelola, dan mengawasi penggunaan uang untuk mencapai tujuan keuangan pribadi. Ini melibatkan penganggaran, tabungan, investasi, dan pengeluaran yang bijaksana.","Apa itu pengelolaan uang? Pengelolaan uang adalah proses merencanakan, mengelola, dan mengawasi penggunaan uang untuk mencapai tujuan keuangan pribadi. Ini melibatkan penganggaran, tabungan, investasi, dan pengeluaran yang bijaksana."
33,Apa itu kartu kredit?,Kartu kredit adalah alat pembayaran yang memungkinkan pemegang kartu untuk meminjam uang dari penerbit kartu untuk melakukan pembelian. Pemegang kartu harus membayar kembali jumlah yang dipinjam beserta bunga dan biaya lainnya.,Apa itu kartu kredit? Kartu kredit adalah alat pembayaran yang memungkinkan pemegang kartu untuk meminjam uang dari penerbit kartu untuk melakukan pembelian. Pemegang kartu harus membayar kembali jumlah yang dipinjam beserta bunga dan biaya lainnya.
34,Apa itu pinjaman hipotek?,"Pinjaman hipotek adalah pinjaman yang digunakan untuk membeli properti, biasanya rumah, di mana properti tersebut menjadi jaminan untuk pinjaman tersebut. Pembayaran hipotek dilakukan secara berkala dalam jangka waktu yang panjang.","Apa itu pinjaman hipotek? Pinjaman hipotek adalah pinjaman yang digunakan untuk membeli properti, biasanya rumah, di mana properti tersebut menjadi jaminan untuk pinjaman tersebut. Pembayaran hipotek dilakukan secara berkala dalam jangka waktu yang panjang."
35,Apa itu budgeting?,Budgeting adalah proses membuat rencana pengeluaran uang dalam periode tertentu. Ini membantu individu atau keluarga mengelola pengeluaran mereka agar tidak melebihi pendapatan.,Apa itu budgeting? Budgeting adalah proses membuat rencana pengeluaran uang dalam periode tertentu. Ini membantu individu atau keluarga mengelola pengeluaran mereka agar tidak melebihi pendapatan.
36,Apa itu investasi?,"Investasi adalah tindakan mengalokasikan uang atau sumber daya lainnya dengan harapan mendapatkan keuntungan atau penghasilan di masa depan. Contoh investasi meliputi saham, obligasi, dan real estat.","Apa itu investasi? Investasi adalah tindakan mengalokasikan uang atau sumber daya lainnya dengan harapan mendapatkan keuntungan atau penghasilan di masa depan. Contoh investasi meliputi saham, obligasi, dan real estat."
37,Apa itu kewajiban?,"Kewajiban (liabilities) adalah segala bentuk utang atau kewajiban keuangan yang harus dibayar oleh individu atau organisasi kepada pihak lain. Contoh kewajiban termasuk pinjaman, hipotek, dan tagihan kartu kredit.","Apa itu kewajiban? Kewajiban (liabilities) adalah segala bentuk utang atau kewajiban keuangan yang harus dibayar oleh individu atau organisasi kepada pihak lain. Contoh kewajiban termasuk pinjaman, hipotek, dan tagihan kartu kredit."
38,Apa itu aset?,"Aset (assets) adalah segala sesuatu yang memiliki nilai ekonomi yang dimiliki oleh individu atau organisasi. Contoh aset meliputi uang tunai, properti, saham, dan obligasi.","Apa itu aset? Aset (assets) adalah segala sesuatu yang memiliki nilai ekonomi yang dimiliki oleh individu atau organisasi. Contoh aset meliputi uang tunai, properti, saham, dan obligasi."
39,Apa itu rencana keuangan?,"Rencana keuangan adalah dokumen yang merinci tujuan keuangan seseorang dan strategi untuk mencapainya. Rencana ini mencakup anggaran, tabungan, investasi, dan manajemen utang.","Apa itu rencana keuangan? Rencana keuangan adalah dokumen yang merinci tujuan keuangan seseorang dan strategi untuk mencapainya. Rencana ini mencakup anggaran, tabungan, investasi, dan manajemen utang."
40,Apa itu inflasi?,"Inflasi adalah peningkatan umum dalam harga barang dan jasa dalam suatu ekonomi selama periode waktu tertentu. Inflasi mengurangi daya beli uang, yang berarti jumlah uang yang sama akan membeli barang dan jasa lebih sedikit dari waktu ke waktu.","Apa itu inflasi? Inflasi adalah peningkatan umum dalam harga barang dan jasa dalam suatu ekonomi selama periode waktu tertentu. Inflasi mengurangi daya beli uang, yang berarti jumlah uang yang sama akan membeli barang dan jasa lebih sedikit dari waktu ke waktu."
41,Apa itu analisis fundamental?,"Analisis fundamental adalah metode evaluasi nilai intrinsik suatu saham berdasarkan faktor ekonomi, keuangan, dan faktor kualitatif dan kuantitatif lainnya yang terkait dengan perusahaan. Ini melibatkan analisis laporan keuangan, manajemen, dan prospek industri.","Apa itu analisis fundamental? Analisis fundamental adalah metode evaluasi nilai intrinsik suatu saham berdasarkan faktor ekonomi, keuangan, dan faktor kualitatif dan kuantitatif lainnya yang terkait dengan perusahaan. Ini melibatkan analisis laporan keuangan, manajemen, dan prospek industri."
42,Apa itu analisis teknikal?,"Analisis teknikal adalah metode evaluasi sekuritas dengan menganalisis statistik yang dihasilkan oleh aktivitas pasar, seperti harga dan volume. Analis teknikal menggunakan grafik dan indikator teknis untuk mengidentifikasi pola dan tren yang dapat menunjukkan arah pergerakan harga di masa depan.","Apa itu analisis teknikal? Analisis teknikal adalah metode evaluasi sekuritas dengan menganalisis statistik yang dihasilkan oleh aktivitas pasar, seperti harga dan volume. Analis teknikal menggunakan grafik dan indikator teknis untuk mengidentifikasi pola dan tren yang dapat menunjukkan arah pergerakan harga di masa depan."
43,Apa itu rasio P/E?,Rasio P/E (Price-to-Earnings) adalah rasio valuasi yang membandingkan harga saham perusahaan dengan laba bersih per sahamnya. Rasio ini digunakan untuk menentukan apakah saham dinilai terlalu tinggi atau terlalu rendah dibandingkan dengan laba perusahaan.,Apa itu rasio P/E? Rasio P/E (Price-to-Earnings) adalah rasio valuasi yang membandingkan harga saham perusahaan dengan laba bersih per sahamnya. Rasio ini digunakan untuk menentukan apakah saham dinilai terlalu tinggi atau terlalu rendah dibandingkan dengan laba perusahaan.
44,Apa itu analisis SWOT?,"Analisis SWOT adalah teknik perencanaan strategis yang digunakan untuk membantu mengidentifikasi Strengths (Kekuatan), Weaknesses (Kelemahan), Opportunities (Peluang), dan Threats (Ancaman) suatu perusahaan atau proyek.","Apa itu analisis SWOT? Analisis SWOT adalah teknik perencanaan strategis yang digunakan untuk membantu mengidentifikasi Strengths (Kekuatan), Weaknesses (Kelemahan), Opportunities (Peluang), dan Threats (Ancaman) suatu perusahaan atau proyek."
45,Apa itu Risk-to-Reward Ratio?,Risk-to-Reward Ratio adalah perbandingan antara risiko potensial dan imbal hasil potensial dari suatu investasi. Rasio ini digunakan oleh investor untuk mengevaluasi apakah imbal hasil potensial cukup besar untuk menutupi risiko yang diambil.,Apa itu Risk-to-Reward Ratio? Risk-to-Reward Ratio adalah perbandingan antara risiko potensial dan imbal hasil potensial dari suatu investasi. Rasio ini digunakan oleh investor untuk mengevaluasi apakah imbal hasil potensial cukup besar untuk menutupi risiko yang diambil.
46,Apa itu Margin of Safety?,Margin of Safety adalah konsep investasi yang menyatakan bahwa investor harus membeli sekuritas hanya ketika harga pasar jauh di bawah nilai intrinsiknya. Ini memberikan perlindungan terhadap kesalahan analisis atau fluktuasi pasar yang tak terduga.,Apa itu Margin of Safety? Margin of Safety adalah konsep investasi yang menyatakan bahwa investor harus membeli sekuritas hanya ketika harga pasar jauh di bawah nilai intrinsiknya. Ini memberikan perlindungan terhadap kesalahan analisis atau fluktuasi pasar yang tak terduga.
47,Apa itu Value Investing?,Value Investing adalah strategi investasi yang melibatkan membeli sekuritas yang dinilai lebih rendah dari nilai intrinsiknya. Investor yang menggunakan strategi ini mencari saham yang mereka anggap undervalued oleh pasar.,Apa itu Value Investing? Value Investing adalah strategi investasi yang melibatkan membeli sekuritas yang dinilai lebih rendah dari nilai intrinsiknya. Investor yang menggunakan strategi ini mencari saham yang mereka anggap undervalued oleh pasar.
48,Apa itu Growth Investing?,Growth Investing adalah strategi investasi yang melibatkan membeli saham perusahaan yang diharapkan memiliki pertumbuhan pendapatan dan laba yang tinggi di masa depan. Investor growth mencari perusahaan dengan potensi pertumbuhan yang cepat.,Apa itu Growth Investing? Growth Investing adalah strategi investasi yang melibatkan membeli saham perusahaan yang diharapkan memiliki pertumbuhan pendapatan dan laba yang tinggi di masa depan. Investor growth mencari perusahaan dengan potensi pertumbuhan yang cepat.
49,Apa itu diversifikasi?,Diversifikasi adalah strategi manajemen risiko yang melibatkan alokasi investasi di berbagai aset atau sektor untuk mengurangi risiko keseluruhan portofolio. Diversifikasi dapat membantu melindungi portofolio dari kerugian besar.,Apa itu diversifikasi? Diversifikasi adalah strategi manajemen risiko yang melibatkan alokasi investasi di berbagai aset atau sektor untuk mengurangi risiko keseluruhan portofolio. Diversifikasi dapat membantu melindungi portofolio dari kerugian besar.
50,Apa itu Time Horizon?,Time Horizon adalah jangka waktu yang diharapkan oleh investor untuk memegang investasi sebelum menjualnya. Time horizon yang lebih panjang memungkinkan investor untuk mengambil risiko yang lebih tinggi karena mereka memiliki lebih banyak waktu untuk pulih dari fluktuasi pasar.,Apa itu Time Horizon? Time Horizon adalah jangka waktu yang diharapkan oleh investor untuk memegang investasi sebelum menjualnya. Time horizon yang lebih panjang memungkinkan investor untuk mengambil risiko yang lebih tinggi karena mereka memiliki lebih banyak waktu untuk pulih dari fluktuasi pasar.
51,Apa itu Standard Deviation?,"Standard Deviation adalah ukuran statistik yang menunjukkan seberapa besar variasi atau perbedaan dalam sekumpulan data. Dalam konteks investasi, ini digunakan untuk mengukur volatilitas atau risiko suatu aset atau portofolio.","Apa itu Standard Deviation? Standard Deviation adalah ukuran statistik yang menunjukkan seberapa besar variasi atau perbedaan dalam sekumpulan data. Dalam konteks investasi, ini digunakan untuk mengukur volatilitas atau risiko suatu aset atau portofolio."
52,Apa itu Liquidity Ratio?,Liquidity Ratio adalah rasio keuangan yang digunakan untuk mengukur kemampuan perusahaan untuk memenuhi kewajiban jangka pendeknya dengan aset lancar yang dimilikinya. Contoh rasio likuiditas adalah Current Ratio dan Quick Ratio.,Apa itu Liquidity Ratio? Liquidity Ratio adalah rasio keuangan yang digunakan untuk mengukur kemampuan perusahaan untuk memenuhi kewajiban jangka pendeknya dengan aset lancar yang dimilikinya. Contoh rasio likuiditas adalah Current Ratio dan Quick Ratio.
53,Apa itu Debt-to-Equity Ratio?,Debt-to-Equity Ratio adalah rasio keuangan yang menunjukkan perbandingan antara total utang perusahaan dengan total ekuitasnya. Rasio ini digunakan untuk menilai struktur modal perusahaan dan tingkat leverage yang digunakan.,Apa itu Debt-to-Equity Ratio? Debt-to-Equity Ratio adalah rasio keuangan yang menunjukkan perbandingan antara total utang perusahaan dengan total ekuitasnya. Rasio ini digunakan untuk menilai struktur modal perusahaan dan tingkat leverage yang digunakan.
54,Apa itu EPS?,Earnings per Share (EPS) adalah ukuran laba bersih yang diperoleh perusahaan untuk setiap saham yang beredar. EPS digunakan oleh investor untuk menilai profitabilitas perusahaan per saham.,Apa itu EPS? Earnings per Share (EPS) adalah ukuran laba bersih yang diperoleh perusahaan untuk setiap saham yang beredar. EPS digunakan oleh investor untuk menilai profitabilitas perusahaan per saham.
55,Apa itu P/B Ratio?,Price-to-Book (P/B) Ratio adalah rasio valuasi yang membandingkan harga saham perusahaan dengan nilai buku per sahamnya. Rasio ini digunakan untuk menentukan apakah saham dinilai terlalu tinggi atau terlalu rendah dibandingkan dengan nilai bukunya.,Apa itu P/B Ratio? Price-to-Book (P/B) Ratio adalah rasio valuasi yang membandingkan harga saham perusahaan dengan nilai buku per sahamnya. Rasio ini digunakan untuk menentukan apakah saham dinilai terlalu tinggi atau terlalu rendah dibandingkan dengan nilai bukunya.
56,Apa itu Current Ratio?,Current Ratio adalah rasio likuiditas yang mengukur kemampuan perusahaan untuk membayar kewajiban jangka pendeknya dengan aset lancar yang dimilikinya. Current Ratio yang lebih tinggi menunjukkan likuiditas yang lebih baik.,Apa itu Current Ratio? Current Ratio adalah rasio likuiditas yang mengukur kemampuan perusahaan untuk membayar kewajiban jangka pendeknya dengan aset lancar yang dimilikinya. Current Ratio yang lebih tinggi menunjukkan likuiditas yang lebih baik.
57,Apa itu tingkat suku bunga?,"Tingkat suku bunga (interest rate) adalah persentase yang dibebankan oleh pemberi pinjaman kepada peminjam untuk penggunaan uang. Tingkat suku bunga dapat mempengaruhi keputusan investasi, tabungan, dan pengeluaran konsumen.","Apa itu tingkat suku bunga? Tingkat suku bunga (interest rate) adalah persentase yang dibebankan oleh pemberi pinjaman kepada peminjam untuk penggunaan uang. Tingkat suku bunga dapat mempengaruhi keputusan investasi, tabungan, dan pengeluaran konsumen."
58,Apa itu GDP?,"Produk Domestik Bruto (GDP) adalah total nilai pasar dari semua barang dan jasa akhir yang dihasilkan dalam suatu negara selama periode waktu tertentu, biasanya satu tahun atau kuartal. GDP digunakan sebagai indikator utama kesehatan ekonomi suatu negara.","Apa itu GDP? Produk Domestik Bruto (GDP) adalah total nilai pasar dari semua barang dan jasa akhir yang dihasilkan dalam suatu negara selama periode waktu tertentu, biasanya satu tahun atau kuartal. GDP digunakan sebagai indikator utama kesehatan ekonomi suatu negara."
59,Apa itu deflasi?,"Deflasi adalah penurunan umum dalam harga barang dan jasa dalam suatu ekonomi selama periode waktu tertentu. Deflasi dapat meningkatkan daya beli uang, tetapi juga dapat menandakan masalah ekonomi seperti permintaan yang rendah.","Apa itu deflasi? Deflasi adalah penurunan umum dalam harga barang dan jasa dalam suatu ekonomi selama periode waktu tertentu. Deflasi dapat meningkatkan daya beli uang, tetapi juga dapat menandakan masalah ekonomi seperti permintaan yang rendah."
60,Apa itu CPI?,Indeks Harga Konsumen (CPI) adalah ukuran yang mengamati rata-rata perubahan harga dari waktu ke waktu yang dibayarkan oleh konsumen untuk sekelompok barang dan jasa tertentu. CPI digunakan untuk mengukur inflasi.,Apa itu CPI? Indeks Harga Konsumen (CPI) adalah ukuran yang mengamati rata-rata perubahan harga dari waktu ke waktu yang dibayarkan oleh konsumen untuk sekelompok barang dan jasa tertentu. CPI digunakan untuk mengukur inflasi.
